nombre,marca,precio,imagen_url,url_origen,alimentador_de_energía_para_tarjeta_madre,amd_expo_(extended_profiles_for_overclocking),amd_expo_(extended_profiles_for_overclocking):,amd_freesync,cantidad_de_puertos_usb_3.0,capacidad,capacidad_de_memoria_ram,categoria,certificación_80_plus,circuito_integrado_de_tarjeta_madre,diagonal_de_la_pantalla,diseño_de_memoria_(módulos_x_tamaño),diámetro_de_ventilador,factor_de_forma,familia_de_procesador,formas_de_factor_de_tarjeta_madre_soportadas,formato_del_teclado,fuente_de_alimentación_incluida:,gráficos_discretos_memoria_del_adaptador,intel®_extreme_memory_profile_(xmp),intel®_extreme_memory_profile_(xmp):,interfaz,interfaz_del_dispositivo,latencia_cas,memoria_interna_máxima,modelo_del_procesador,modos_de_iluminación,número_de_núcleos_de_procesador,número_de_puertos_hdmi,número_de_ventiladores,pantalla_táctil,potencia_nominal,rating,resolución_de_movimiento,sku,socket_de_procesador,sockets_de_procesador_soportados,stock_disponible,tamaño_de_disco_duro,tamaño_del_radiador,tecnología_de_conectividad,tecnología_de_detección_de_movimientos,tecnología_de_visualización,tipo_de_cableado,tipo_de_interfaz,tipo_de_memoria_de_adaptador_gráfico,tipo_de_memoria_interna,tipos_de_memoria_compatibles,total_de_ventiladores_instalados,velocidad_de_memoria_del_reloj,velocidad_de_rotación_(máx.),velocidad_de_rotación_de_disco_duro,velocidad_de_transferencia_de_datos,velocidad_de_ventilador_(máx.)
"Gabinete Corsair 4000D RS, Midi-Tower, ATX/EATX/Micro-ATX/Mini-ITX, USB 3.0, sin Fuente, 3 Ventiladores Instalados, Blanco",CORSAIR,1899.0,https://www.cyberpuerta.mx/img/product/S/CP-CORSAIR-CC-9011313-WW-dc124d.jpg,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Gabinetes/Gabinete-Corsair-4000D-RS-Midi-Tower-ATX-EATX-Micro-ATX-Mini-ITX-USB-3-0-sin-Fuente-3-Ventiladores-Instalados-Blanco.html,,,,,2,,,Gabinetes,,,,,,Midi Tower,,"ATX, EATX, Micro ATX, Mini-ITX",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
"Gabinete Balam Rush TANK MAJESTIC 7600, Midi-Tower, ATX/Micro-ATX/Mini-ITX, USB 2.0/3.0, sin Fuente, 5 Ventiladores Instalados, Blanco",GABINETE,2199.0,https://www.cyberpuerta.mx/img/product/S/CP-BALAMRUSH-BR-941501-4ce5d4.png,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Gabinetes/Gabinete-Balam-Rush-TANK-MAJESTIC-7600-Midi-Tower-ATX-Micro-ATX-Mini-ITX-USB-2-0-3-0-sin-Fuente-5-Ventiladores-Instalados-Blanco.html,,,,,1,,,Gabinetes,,,,,,Midi-Tower,,ATX/Micro-ATX/Mini-ITX,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
"Gabinete be quiet! LIGHT BASE 600 LX, Midi-Tower, ATX/Micro-ATX/Mini-ITX, USB 3.0, sin Fuente, 4 Ventiladores Instalados, Negro",BE QUIET,2829.0,https://www.cyberpuerta.mx/img/product/S/CP-BEQUIET-BGW67-08150a.jpg,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Gabinetes/Gabinete-be-quiet-LIGHT-BASE-600-LX-Midi-Tower-ATX-Micro-ATX-Mini-ITX-USB-3-0-sin-Fuente-4-Ventiladores-Instalados-Negro.html,,,,,2,,,Gabinetes,,,,,,Midi Tower,,"ATX, Micro ATX, Mini-ITX",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
"Fuente de Poder Cooler Master MWE V3 80 PLUS Gold ATX, 24-pin ATX, 12VHPWR, 120mm, 850W",HP,1169.0,https://www.cyberpuerta.mx/img/product/S/CP-COOLERMASTER-MPE-8506-ACAG-BUS-8aa104.jfif,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Fuentes-de-Poder-para-PC-s/Fuente-de-Poder-Cooler-Master-MWE-V3-80-PLUS-Gold-ATX-24-pin-ATX-12VHPWR-120mm-850W.html,24-pin ATX,,,,,,,Fuentes de Poder,80 PLUS Gold,,,,,ATX,,,,,,,,,,,,,,,,,,850W,,,,,,,,,,,,No modular,,,,,,,,,,
"Fuente de Poder XPG PYLON 80 PLUS Bronze ATX, 24-pin ATX, 120mm, 650W",FUENTE,919.0,https://www.cyberpuerta.mx/img/product/S/CP-XPG-PYLON650B-BKCUS-1.jpg,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Fuentes-de-Poder-para-PC-s/Fuente-de-Poder-XPG-PYLON-80-PLUS-Bronze-ATX-24-pin-ATX-120mm-650W.html,24-pines ATX,,,,,,,Fuentes de Poder,80 PLUS Bronze,,,,,ATX,,,,,,,,,,,,,,,,,,650 W,,,,,,,,,,,,No modular,,,,,,,,,,
"Fuente de Poder MSI MAG A750BN PCIE5 80 PLUS Bronze ATX, 24-pin ATX, 120mm, 750W",MSI,1489.0,https://www.cyberpuerta.mx/img/product/S/CP-MSI-MAGA850GLSPCIE5-dc625e.png,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Fuentes-de-Poder-para-PC-s/Fuente-de-Poder-MSI-MAG-A750BN-PCIE5-80-PLUS-Bronze-ATX-24-pin-ATX-120mm-750W.html,24-pines ATX,,,,,,,Fuentes de Poder,80 PLUS Bronze,,,,,ATX,,,,,,,,,,,,,,,,,,750 W,6,,MAG A850GLS PCIE5,,,164282 pzas.,,,,,,No modular,,,,,,,,,,
"Fuente de Poder MSI MAG A850GLS PCIE5 80 PLUS Gold ATX, Modular, 24-pin ATX, 135mm, 850W",MSI,1489.0,https://www.cyberpuerta.mx/img/product/S/CP-MSI-MAGA850GLSPCIE5-dc625e.png,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Fuentes-de-Poder-para-PC-s/Fuente-de-Poder-MSI-MAG-A850GLS-PCIE5-80-PLUS-Gold-ATX-Modular-24-pin-ATX-135mm-850W.html,24-pin ATX,,,,,,,Fuentes de Poder,80 PLUS Gold,,,,,ATX,,,,,,,,,,,,,,,,,,850W,,,,,,,,,,,,Modular,,,,,,,,,,
"Fuente de Poder Balam Rush GR Burst GR750G 80 PLUS Gold ATX, Modular, 24-pin ATX, 120mm, 750W",FUENTE,1149.0,https://www.cyberpuerta.mx/img/product/S/CP-BALAMRUSH-BR-937665-085b3e.jpg,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Fuentes-de-Poder-para-PC-s/Fuente-de-Poder-Balam-Rush-GR-Burst-GR750G-80-PLUS-Gold-ATX-Modular-24-pin-ATX-120mm-750W.html,20+4 pin ATX,,,,,,,Fuentes de Poder,80 PLUS Gold,,,,,ATX,,,,,,,,,,,,,,,,,,750 W,,,,,,,,,,,,Totalmente modular,,,,,,,,,,
"Fuente de Poder ASUS TUF Gaming 80 PLUS Gold ATX, Modular, 24-pin ATX, 12VHPWR, 120mm, 1000W",ASUS,2849.0,https://www.cyberpuerta.mx/img/product/S/CP-ASUS-TUF-GAMING-1000G-WHITE-856380.png,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Fuentes-de-Poder-para-PC-s/Fuente-de-Poder-ASUS-TUF-Gaming-80-PLUS-Gold-ATX-Modular-24-pin-ATX-12VHPWR-120mm-1000W.html,24-pin ATX,,,,,,,Fuentes de Poder,80 PLUS Gold,,,,,ATX,,,,,,,,,,,,,,,,,,1000W,,,,,,,,,,,,Modular,,,,,,,,,,
"Fuente de Poder Gigabyte UD850GM PG5 V2 ICE 80 PLUS Gold ATX, Modular, 24-pin ATX, 12VHPWR, 120mm, 850W",GIGABYTE,1519.0,https://www.cyberpuerta.mx/img/product/S/CP-GIGABYTE-GP-UD850GMPG5ICE-117efa.png,https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Fuentes-de-Poder-para-PC-s/Fuente-de-Poder-Gigabyte-UD850GM-PG5-V2-ICE-80-PLUS-Gold-ATX-Modular-24-pin-ATX-12VHPWR-120mm-850W.html,20+4 pin ATX,,,,,,,Fuentes de Poder,80 PLUS Gold,,,,,ATX,,,,,,,,,,,,,,,,,,850W,,,,,,,,,,,,Totalmente modular,,,,,,,,,,
